--- 語音逐字稿 (語言: en) ---
[0.00s -> 10.26s]  Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
[1302.80s -> 1303.80s]  大而有形
[1303.80s -> 1304.80s]  眼大事基础
[1304.80s -> 1306.80s]  重检增加分组
[1306.80s -> 1307.80s]  综合做设计
[1307.80s -> 1309.80s]  才能魅力增
[1310.80s -> 1311.80s]  裁瘀的双眼皮
[1311.80s -> 1312.80s]  还不够漂亮
[1312.80s -> 1313.80s]  问题就在于
[1313.80s -> 1314.80s]  姑裂了美眼珠姐的
[1314.80s -> 1315.80s]  整体名画
[1315.80s -> 1316.80s]  没有把眼睛的
[1316.80s -> 1317.80s]  身、魂、情
[1317.80s -> 1318.80s]  集全过来
[1320.80s -> 1322.80s]  重检能让你眼睛灵动
[1322.80s -> 1324.80s]  开眼角能让你眼睛传神
[1324.80s -> 1325.80s]  抗接老灵人
[1325.80s -> 1327.80s]  让你的眼睛魅迫
[1327.80s -> 1328.80s]  龙为功
[1328.80s -> 1329.80s]  能让你眼睛有情
[1329.80s -> 1331.80s]  微修为
[1331.80s -> 1332.80s]  能让你眼睛瘟
[1332.80s -> 1333.80s]  小臥残
[1333.80s -> 1335.80s]  会让你显得那么
[1335.80s -> 1336.80s]  所以臥残一定会
[1336.80s -> 1337.80s]  让你非常的猛
[1337.80s -> 1340.80s]  这是各个眼睛部位
[1340.80s -> 1341.80s]  他的不同部位
[1341.80s -> 1343.80s]  所能给你带来的感觉
[1343.80s -> 1344.80s]  所以有我在
[1344.80s -> 1346.80s]  郑州的医院的
[1346.80s -> 1347.80s]  他就专做眼瓶
[1347.80s -> 1348.80s]  直做眼瓶
[1348.80s -> 1349.80s]  把一批的眼睛
[1349.80s -> 1350.80s]  二十万到三十万
[1351.80s -> 1352.80s]  受二三十万
[1352.80s -> 1354.80s]  你知道他这么说的吗
[1355.80s -> 1356.80s]  双眼皮
[1356.80s -> 1357.80s]  两万
[1357.80s -> 1359.80s]  抽上
[1359.80s -> 1360.80s]  抽上面的脂肪
[1360.80s -> 1361.80s]  两万
[1361.80s -> 1362.80s]  内眼角两万
[1362.80s -> 1363.80s]  外眼角四万
[1363.80s -> 1365.80s]  上下眼角各两万
[1366.80s -> 1367.80s]  然后
[1367.80s -> 1368.80s]  上下眼角
[1368.80s -> 1370.80s]  你们开上下眼角
[1370.80s -> 1371.80s]  有的女孩子眼睛
[1371.80s -> 1372.80s]  基础很差的
[1372.80s -> 1374.80s]  就需要开上下眼角
[1375.80s -> 1376.80s]  上部
[1376.80s -> 1377.80s]  下部
[1377.80s -> 1378.80s]  都可以做的
[1378.80s -> 1379.80s]  上下眼角
[1379.80s -> 1380.80s]  还有就是
[1380.80s -> 1381.80s]  眼尾机身
[1381.80s -> 1382.80s]  两万
[1382.80s -> 1383.80s]  这儿的肌肤
[1383.80s -> 1384.80s]  机身
[1384.80s -> 1385.80s]  两万
[1385.80s -> 1386.80s]  处厚的
[1386.80s -> 1387.80s]  快速恢复
[1387.80s -> 1388.80s]  两万
[1388.80s -> 1389.80s]  说说
[1389.80s -> 1390.80s]  总监下
[1390.80s -> 1391.80s]  还有他的眉毛
[1391.80s -> 1392.80s]  眉毛
[1392.80s -> 1393.80s]  两万
[1393.80s -> 1394.80s]  他的眼睛是吧
[1394.80s -> 1395.80s]  眉毛
[1395.80s -> 1396.80s]  加在一起
[1396.80s -> 1397.80s]  所以说
[1397.80s -> 1398.80s]  他坐下来
[1398.80s -> 1399.80s]  一份套餐
[1399.80s -> 1400.80s]  下来
[1400.80s -> 1401.80s]  二十万
[1401.80s -> 1402.80s]  三十万
[1402.80s -> 1403.80s]  对吧
[1403.80s -> 1404.80s]  咱坐一人
[1404.80s -> 1405.80s]  千万元
[1405.80s -> 1406.80s]  千万元
[1406.80s -> 1407.80s]  还会干
[1407.80s -> 1408.80s]  大家拿六十元
[1409.80s -> 1410.80s]  所以说
[1410.80s -> 1411.80s]  温到有先后
[1411.80s -> 1412.80s]  数月有装
[1412.80s -> 1413.80s]  包装一到位
[1413.80s -> 1414.80s]  就能领先
[1414.80s -> 1415.80s]  只要你包上了好
[1415.80s -> 1416.80s]  顾客就愿意给你买单
[1416.80s -> 1417.80s]  把一个部位
[1417.80s -> 1418.80s]  开放一开放
[1418.80s -> 1419.80s]  给你奖金
[1419.80s -> 1420.80s]  估计资源是
[1420.80s -> 1421.80s]  满足顾客的
[1421.80s -> 1422.80s]  高级需求
[1422.80s -> 1423.80s]  高级资源是
[1423.80s -> 1424.80s]  发掘顾客的
[1424.80s -> 1425.80s]  潜 time
[1425.80s -> 1426.80s]  需求
[1426.80s -> 1427.80s]  只要你够专业
[1427.80s -> 1428.80s]  懂人性
[1428.80s -> 1429.80s]  会沟通
[1429.80s -> 1430.80s]  顾客的需求
[1430.80s -> 1431.80s]  就能够发掘得出来
[1431.80s -> 1432.80s]  就像我发掘的一样
[1433.80s -> 1434.80s]  对吗
[1434.80s -> 1435.80s]  先发掘你的眼睛
[1435.80s -> 1436.80s]  再发掘你的眼睛
[1436.80s -> 1437.80s]  然后是你的鼻子
[1437.80s -> 1438.80s]  然后是你的脸
[1438.80s -> 1439.80s]  然后是你的嘴
[1439.80s -> 1440.80s]  然后是你的嘴唇
[1441.80s -> 1442.80s]  都可以把这个做的
[1442.80s -> 1443.80s]  对吧
[1443.80s -> 1444.80s]  只要你爱我
[1444.80s -> 1445.80s]  你就会愿意跟我
[1445.80s -> 1447.80s]  只要因此让你变得漂亮
[1447.80s -> 1448.80s]  你下次你还会初代
[1448.80s -> 1449.80s]  对吗
[1451.80s -> 1452.80s]  不管是首次见人
[1452.80s -> 1453.80s]  还是多次见人
[1453.80s -> 1454.80s]  都必须不断地
[1454.80s -> 1456.80s]  给互合做整体社会
[1456.80s -> 1457.80s]  也许他当时
[1457.80s -> 1458.80s]  一定马上会做
[1459.80s -> 1460.80s]  但是只要你
[1460.80s -> 1461.80s]  讲大悲
[1461.80s -> 1462.80s]  他迟早会来
[1462.80s -> 1463.80s] 整体社会
[1463.80s -> 1464.80s]  你的另外一个用意
[1464.80s -> 1465.80s]  是为你的下次
[1465.80s -> 1466.80s]   м 交                      
[1466.80s -> 1467.80s]  为你回访
[1467.80s -> 1468.80s]  邀約
[1498.80s -> 1502.80s]  There is a classic, very good, we two go to play together
[1502.80s -> 1504.80s]  We have to invite him
[1504.80s -> 1506.80s]  There is a movie that is new and hard to play
[1506.80s -> 1508.80s]  Very good, we go together to play
[1508.80s -> 1510.80s]  There is a skill to watch the movie
[1510.80s -> 1513.80s]  Watching the movie is a good way to do it
[1513.80s -> 1515.80s]  But he has a skill to watch the movie
[1515.80s -> 1517.80s]  If you have experience, you will invite him to watch
[1517.80s -> 1519.80s]  Let's get married
[1519.80s -> 1521.80s]  What is the tea tree?
[1521.80s -> 1523.80s]  What is the tea tree?
[1523.80s -> 1525.80s]  What is it?
[1526.80s -> 1529.80s]  The tea tree is made of bamboo
[1529.80s -> 1532.80s]  I can see that so I got some experience
[1532.80s -> 1536.80s]  The tea tree has too much experience
[1538.80s -> 1540.80s]  I didn't have experience, I got this
[1540.80s -> 1543.80s]  If I had experience, I would buy this
[1543.80s -> 1545.80s]  In the next movie, I buy one
[1545.80s -> 1547.80s]  If I had experience, I would buy two
[1549.80s -> 1552.80s]  If I had experience, I would buy two cups
[1552.80s -> 1554.80s]  If I had experience, I would buy one cup
[1554.80s -> 1558.80s]  Do you know why you have to buy a bucket of rice and a bucket of coke?
[1558.80s -> 1560.80s]  You have to buy a bucket of rice and a bucket of coke
[1560.80s -> 1562.80s]  because both of you have to hold your hands and grab it
[1562.80s -> 1564.80s]  so you can touch it
[1564.80s -> 1566.80s]  If you can touch it, you have a chance
[1566.80s -> 1568.80s]  Remember, girls, when you touch it for the first time
[1568.80s -> 1570.80s]  it's a despicable person
[1570.80s -> 1572.80s]  Don't hold it in
[1572.80s -> 1574.80s]  If you touch it too much, it's a despicable person
[1574.80s -> 1576.80s]  It's been a long time
[1576.80s -> 1578.80s]  and it's a long time
[1578.80s -> 1580.80s]  So if you like a girl who likes you
[1580.80s -> 1582.80s]  it's okay to shake her hand
[1582.80s -> 1584.80s]  Let's say you hold a bucket of rice and a bucket of coke
[1586.80s -> 1588.80s]  and grab it
[1588.80s -> 1590.80s]  What are you doing?
[1590.80s -> 1592.80s]  Hold it in your hand
[1592.80s -> 1594.80s]  or hold it in your hand
[1594.80s -> 1596.80s]  and she said, oh, this is great
[1596.80s -> 1598.80s]  Next time you can shake your hand
[1598.80s -> 1600.80s]  and you can come out
[1600.80s -> 1602.80s]  When you touch it
[1602.80s -> 1604.80s]  and you grab it
[1604.80s -> 1606.80s]  it's a despicable person
[1606.80s -> 1608.80s]  If you don't grab it
[1608.80s -> 1610.80s]  it's not good
[1610.80s -> 1612.80s]  If you buy a cup of coke
[1612.80s -> 1614.80s]  you have to buy two cups
[1614.80s -> 1616.80s]  If you buy a cup of coke
[1616.80s -> 1618.80s]  it's too much for you
[1618.80s -> 1620.80s]  I'll give you a cup
[1620.80s -> 1622.80s]  and you're not gonna be happy
[1622.80s -> 1624.80s]  Forget it
[1624.80s -> 1626.80s]  If
[1626.80s -> 1628.80s]  there are four situations
[1628.80s -> 1630.80s]  If
[1630.80s -> 1632.80s]  she needs to be strong
[1632.80s -> 1634.80s]  and she needs to be strong
[1634.80s -> 1636.80s]  then she needs to be strong
[1636.80s -> 1638.80s]  and she needs to be strong
[1638.80s -> 1640.80s]  If you're not strong
[1640.80s -> 1642.80s]  and you have a little money
[1642.80s -> 1644.80s]  if you don't have money
[1644.80s -> 1646.80s]  don't feel bad
[1646.80s -> 1648.80s]  I'll change my mind
[1648.80s -> 1650.80s]  and your professional skills are all useful
[1650.80s -> 1652.80s]  In every place
[1652.80s -> 1654.80s]  when you tell her
[1654.80s -> 1656.80s]  she'll go back to being strong
[1656.80s -> 1658.80s]  She'll be beautiful
[1658.80s -> 1660.80s]  She'll have threeady hearts
[1660.80s -> 1662.80s]  and threeiye Centrally
[1662.80s -> 1664.80s]  She'll have her nose
[1664.80s -> 1666.80s]  Her nose is like a mountain
[1666.80s -> 1673.80s]  If he has a demand, but he doesn't have money, what to do?
[1673.80s -> 1675.80s]  If he doesn't have money, he has to design the whole thing.
[1675.80s -> 1676.80s]  The whole thing is done.
[1676.80s -> 1677.80s]  The owner is afraid.
[1677.80s -> 1678.80s]  He is always afraid.
[1678.80s -> 1681.80s]  Every month, when it is 10 o'clock, we start to contact him.
[1681.80s -> 1682.80s]  We call him on the 1st of January.
[1682.80s -> 1684.80s]  When it is 15 o'clock, we pay him a salary.
[1684.80s -> 1686.80s]  Then he comes all the way here.
[1686.80s -> 1688.80s]  But I don't know whether he is alive or not.
[1688.80s -> 1689.80s]  He comes early.
[1689.80s -> 1690.80s]  He comes early.
[1690.80s -> 1695.80s]  If he has money, but he doesn't need it,
[1695.80s -> 1697.80s]  he has money.
[1697.80s -> 1698.80s]  He has a few billion in his family.
[1698.80s -> 1701.80s]  But the face of $2.5 is not cheap.
[1701.80s -> 1703.80s]  This kind of customer can guess two kinds of strategy.
[1703.80s -> 1705.80s]  One strategy is to slowly influence the WeChat.
[1705.80s -> 1707.80s]  The other strategy is to influence him.
[1707.80s -> 1709.80s]  If you look at him, if you want to invest him,
[1709.80s -> 1711.80s]  then give him a little bit of experience.
[1711.80s -> 1712.80s]  Let him do it.
[1712.80s -> 1713.80s]  That's right.
[1713.80s -> 1714.80s]  I'm going to give him half of the money.
[1714.80s -> 1716.80s]  The other half of the money, he will give himself half of the money.
[1716.80s -> 1718.80s]  He will give himself half of the money.
[1718.80s -> 1719.80s]  Do you believe it?
[1719.80s -> 1722.80s]  Who will go out with a big face?
[1722.80s -> 1723.80s]  So he will say,
[1723.80s -> 1724.80s]  this one is also a big one.
[1724.80s -> 1726.80s]  Then I can only give half of the money.
[1726.80s -> 1728.80s]  The other half will give himself half of the money.
[1728.80s -> 1731.80s]  Then the other half will give himself half of the money.
[1731.80s -> 1734.80s]  If he doesn't have money,
[1734.80s -> 1736.80s]  he doesn't need it,
[1736.80s -> 1739.80s]  he doesn't need it,
[1739.80s -> 1740.80s]  he will say,
[1740.80s -> 1742.80s]  I don't give him money.
[1742.80s -> 1744.80s]  I don't give him money for $1.
[1744.80s -> 1746.80s]  I don't give him money for $1.
[1746.80s -> 1748.80s]  This is where the money is.
[1748.80s -> 1750.80s]  Where the money is brought from,
[1750.80s -> 1751.80s]  it's not far away.
[1751.80s -> 1752.80s]  This is where you will give up.
[1752.80s -> 1754.80s]  After all, if you have a big money,
[1754.80s -> 1756.80s]  you have to learn to give up.
[1756.80s -> 1758.80s]  Giving up is a kind of wisdom.
[1758.80s -> 1759.80s]  Do you understand?
[1759.80s -> 1760.80s]  The teacher is caught,
[1760.80s -> 1761.80s]  doesn't give up, it's stupid.
[1761.80s -> 1763.80s]  Giving up is a kind of wisdom.
[1763.80s -> 1766.80s]  So only giving up is a kind of wisdom.
[1766.80s -> 1768.80s]  If the teacher's this tool
[1768.80s -> 1769.80s]  gives you a fixed price,
[1769.80s -> 1771.80s]  don't help him anymore.
[1771.80s -> 1773.80s]  Don't help him too much.
[1773.80s -> 1775.80s]  Or don't let him spend more money on his own.
[1775.80s -> 1778.80s]  Because there are more
[1778.80s -> 1780.80s]  who are good at talking,
[1780.80s -> 1782.80s]  who are willing to spend money on their own.
[1782.80s -> 1785.80s]  Why don't you let them spend more money on their own?
[1785.80s -> 1786.80s]  If they have a price,
[1786.80s -> 1787.80s]  they don't have a price,
[1787.80s -> 1788.80s]  they don't have a price, they are not different.
[1788.80s -> 1789.80s]  Today morning,
[1789.80s -> 1791.80s]  I talked about a face-to-face.
[1791.80s -> 1792.80s]  $1,800,
[1792.80s -> 1793.80s]  and you are going to beat him up.
[1793.80s -> 1794.80s]  After you finish,
[1794.80s -> 1795.80s]  you will have more things.
[1795.80s -> 1796.80s]  The more poor you are,
[1796.80s -> 1797.80s]  the more money you have.
[1797.80s -> 1798.80s]  The more things you have.
[1798.80s -> 1799.80s]  Just say,
[1799.80s -> 1800.80s]  there are a lot of people here.
[1800.80s -> 1801.80s]  They are all right,
[1801.80s -> 1802.80s]  they are drunk, they are drunk.
[1802.80s -> 1803.80s]  They are all coming out.
[1803.80s -> 1804.80s]  The more they are drunk,
[1804.80s -> 1805.80s]  the more they are looking for you.
[1806.80s -> 1807.80s]  So you beat him up.
[1807.80s -> 1808.80s]  Do you think you are responsible for this?
[1808.80s -> 1809.80s]  Yes.
[1809.80s -> 1810.80s]  You beat him up.
[1810.80s -> 1811.80s]  I used to have a good week in my life.
[1811.80s -> 1812.80s]  Now I am getting married.
[1812.80s -> 1814.80s]  How many years have passed?
[1816.80s -> 1817.80s]  So last time,
[1817.80s -> 1818.80s]  in Wuhan,
[1818.80s -> 1819.80s]  his boss was very angry.
[1819.80s -> 1820.80s]  He said,
[1820.80s -> 1821.80s]  there is a heart disease.
[1821.80s -> 1822.80s]  I told him,
[1822.80s -> 1823.80s]  I told him,
[1823.80s -> 1824.80s]  there is a heart disease.
[1824.80s -> 1825.80s]  But I told him,
[1825.80s -> 1826.80s]  there is a heart disease.
[1826.80s -> 1827.80s]  I told him,
[1827.80s -> 1828.80s]  there is a heart disease.
[1828.80s -> 1829.80s]  I told him,
[1829.80s -> 1830.80s]  there is a heart disease.
[1830.80s -> 1831.80s]  So I told him,
[1831.80s -> 1832.80s]  Tesla,
[1832.80s -> 1833.80s]  Tesla is not the most important thing.
[1833.80s -> 1834.80s]  In his background,
[1834.80s -> 1835.80s]  which is the latest technology
[1835.80s -> 1836.80s]  of Tesla-based technology.
[1840.80s -> 1841.80s]  When you use this technology,
[1841.80s -> 1844.80s]  which is very popular among Bruno and
[1844.80s -> 1845.80s]  Türkiye,
[1845.80s -> 1848.80s]  and many other companies,
[1848.80s -> 1849.80s]  the major problem
[1850.80s -> 1851.80s]  of Tesla is this,
[1851.80s -> 1852.80s]  even though there are already
[1852.80s -> 1854.80s]  so many customers,
[1854.80s -> 1856.80s]  also many companies
[1856.80s -> 1858.80s]  have started to think about each other
[1858.80s -> 1859.80s]  very tightly.
[1859.80s -> 1863.80s]  I'm not going to tell you about it, but this is something that people have been doing for many years.
[1863.80s -> 1867.80s]  There's even something that people have been doing for a lifetime.
[1867.80s -> 1869.80s]  I'm going to tell you all about it today.
[1869.80s -> 1871.80s]  Have a good rest for 10 minutes.
[1871.80s -> 1872.80s]  Okay?
[1889.80s -> 1899.80s]  I'm going to tell you all about it.
